,date,salary_index,value_12m_change,property_index,salary,salary_yearly,property,finance_index
84,1996-01-01,146.7,0.09559372666168775,9.4828,123395.93529655742,1480751.223558689,8503597.826086955,5.742759277044702
85,1996-02-01,146.9,0.08976261127596441,9.563,123564.16424720033,1482769.9709664038,8575516.304347826,5.783443468819836
86,1996-03-01,147.4,0.07906295754026371,9.5429,123984.73662380755,1487816.8394856905,8557491.847826086,5.751710573987216
87,1996-04-01,147.4,0.0735615440640931,9.6331,123984.73662380755,1487816.8394856905,8638377.717391305,5.806076049238309
88,1996-05-01,147.8,0.06484149855907773,9.6131,124321.19452509332,1491854.33430112,8620442.934782607,5.778340912097812
89,1996-06-01,147.9,0.05945558739255019,9.7233,124405.30900041475,1492863.708004977,8719263.58695652,5.84062934895022
90,1996-07-01,147.9,0.05869720830350755,9.8035,124405.30900041475,1492863.708004977,8791182.06521739,5.8888041942996185
91,1996-08-01,147.9,0.0541696364932287,9.9238,124405.30900041475,1492863.708004977,8899059.782608695,5.961066462323717
92,1996-09-01,148.0,0.051136363636363535,9.6431,124489.4234757362,1493873.0817088345,8647345.108695652,5.788540682990281
93,1996-10-01,148.2,0.049575070821529676,9.7133,124657.65242637908,1495891.8291165489,8710296.195652174,5.8228115336363215
94,1996-11-01,148.2,0.047349823321554796,9.6231,124657.65242637908,1495891.8291165489,8629410.326086957,5.768739529236788
95,1996-12-01,148.7,0.048660084626233946,9.8436,125078.2248029863,1500938.6976358355,8827141.304347826,5.881080498658385
96,1997-01-01,148.8,0.014314928425358087,9.6431,125162.33927830776,1501948.0713396932,8647345.108695652,5.757419496522591
97,1997-02-01,148.9,0.013614703880190593,9.7534,125246.45375362919,1502957.4450435503,8746255.434782607,5.819363325040232
98,1997-03-01,149.5,0.014246947082767969,9.7534,125751.14060555784,1509013.6872666941,8746255.434782607,5.79600802072569
99,1997-04-01,154.1,0.045454545454545414,9.984,129620.40647034424,1555444.877644131,8953043.47826087,5.7559374857571965
100,1997-05-01,156.7,0.06021650879566964,9.9138,131807.38282870175,1581688.593944421,8890092.391304346,5.620633812079405
101,1997-06-01,157.1,0.06220419202163607,9.9338,132143.84072998754,1585726.0887598505,8908027.173913043,5.61763298028334
102,1997-07-01,157.9,0.06761325219743064,9.9038,132816.75653255908,1593801.0783907091,8881125.0,5.57229200081069
103,1997-08-01,158.0,0.06828938471940504,9.8837,132900.87100788055,1594810.4520945665,8863100.54347826,5.55746329091196
104,1997-09-01,158.5,0.07094594594594605,9.8336,133321.44338448776,1599857.3206138532,8818173.913043479,5.5118502127802325
105,1997-10-01,159.3,0.07489878542510131,10.014,133994.3591870593,1607932.3102447116,8979945.65217391,5.584778410732508
106,1997-11-01,159.8,0.07827260458839413,10.0241,134414.93156366653,1612979.1787639982,8989002.717391305,5.572919251369036
107,1997-12-01,160.7,0.08069939475453936,10.0241,135171.9618415595,1622063.542098714,8989002.717391305,5.541708129239403
108,1998-01-01,167.9,0.1283602150537635,10.0942,141228.20406470343,1694738.4487764412,9051864.130434783,5.341157000934276
109,1998-02-01,168.4,0.13096037609133648,10.2747,141648.77644131065,1699785.3172957278,9213725.54347826,5.420523080018617
110,1998-03-01,168.7,0.1284280936454849,10.3549,141901.11986727497,1702813.4384072996,9285644.021739129,5.453118828110914
111,1998-04-01,169.2,0.09798831927319918,10.4451,142321.6922438822,1707860.3069265862,9366529.891304346,5.4843653507938654
112,1998-05-01,169.4,0.08104658583280155,10.4852,142489.9211945251,1709879.054334301,9402489.130434783,5.49892058540679
113,1998-06-01,169.9,0.08147676639083401,10.5253,142910.4935711323,1714925.9228535877,9438448.369565217,5.503706162339601
114,1998-07-01,170.4,0.07916402786573773,10.5253,143331.06594773952,1719972.7913728743,9438448.369565217,5.487556789797524
115,1998-08-01,171.4,0.08481012658227849,10.5654,144172.21070095396,1730066.5284114475,9474407.608695652,5.4763255939036535
116,1998-09-01,171.7,0.08328075709779181,10.836,144424.55412691826,1733094.649523019,9717065.217391305,5.606771228602908
117,1998-10-01,172.1,0.08035153797865657,10.7358,144761.01202820404,1737132.1443384485,9627211.956521736,5.542014744185201
118,1998-11-01,172.5,0.07947434292866085,10.6656,145097.46992948983,1741169.639153878,9564260.869565217,5.4930092131706205
119,1998-12-01,173.3,0.07840696950840087,10.816,145770.38573206138,1749244.6287847366,9699130.43478261,5.544753589737157
120,1999-01-01,180.4,0.07444907683144719,11.1067,151742.51347988387,1820910.1617586063,9959812.499999998,5.469689119852552
121,1999-02-01,180.9,0.07422802850356303,11.2269,152163.08585649106,1825957.0302778927,10067600.543478262,5.5136021146927385
122,1999-03-01,181.2,0.07409602845287488,11.5477,152415.42928245538,1828985.1513894647,10355274.456521738,5.661759718855521
123,1999-04-01,181.4,0.07210401891252971,11.6881,152583.65823309828,1831003.8987971793,10481176.630434781,5.7242787070634105
124,1999-05-01,181.6,0.0720188902007084,11.9587,152751.88718374117,1833022.646204894,10723834.239130434,5.850355565073434
125,1999-06-01,181.8,0.07004120070629782,12.1893,152920.11613438406,1835041.3936126088,10930622.282608695,5.956608020209179
126,1999-07-01,182.0,0.068075117370892,12.5401,153088.34508502696,1837060.1410203236,11245198.369565217,6.121301158556251
127,1999-08-01,182.2,0.06301050175029155,12.6504,153256.57403566982,1839078.888428038,11344108.695652172,6.168364373617821
128,1999-09-01,182.5,0.06290040768782768,12.7606,153508.91746163415,1842107.0095396098,11442929.347826086,6.211870042601906
129,1999-10-01,182.9,0.06275421266705417,12.8508,153845.37536291993,1846144.5043550392,11523815.217391305,6.24209816198392
130,1999-11-01,183.5,0.06376811594202891,13.0313,154350.06221484859,1852200.746578183,11685676.630434781,6.309076730491167
131,1999-12-01,184.0,0.06174264281592601,13.2117,154770.6345914558,1857247.6150974697,11847448.369565217,6.379035446462778
132,2000-01-01,186.9,0.0360310421286032,13.322,157209.95437577768,1886519.4525093322,11946358.695652172,6.332486357223542
133,2000-02-01,189.3,0.046434494195688236,13.9535,159228.70178349232,1910744.4214019077,12512649.456521736,6.54857306731857
134,2000-03-01,189.6,0.04635761589403975,13.9535,159481.04520945664,1913772.5425134797,12512649.456521736,6.538211401072813
135,2000-04-01,191.1,0.05347298787210586,14.0437,160742.7623392783,1928913.1480713396,12593535.326086955,6.528824451572037
136,2000-05-01,194.5,0.07103524229074898,14.1239,163602.65450020737,1963231.8540024883,12665453.804347826,6.451328598059602
137,2000-06-01,195.7,0.07645764576457625,14.2642,164612.02820406467,1975344.338448776,12791266.304347826,6.475461546310816
138,2000-07-01,196.4,0.07912087912087906,14.4046,165200.82953131478,1982409.9543757774,12917168.47826087,6.5158916548763175
139,2000-08-01,196.6,0.07903402854006591,14.575,165369.05848195768,1984428.7017834922,13069972.826086953,6.586264759394178
140,2000-09-01,196.8,0.07835616438356174,14.6451,165537.28743260057,1986447.4491912068,13132834.239130434,6.611216543622908
141,2000-10-01,197.2,0.07818480043739728,14.575,165873.74533388633,1990484.9440066358,13069972.826086953,6.56622541428446
142,2000-11-01,197.4,0.07574931880109004,14.9459,166041.97428452922,1992503.6914143506,13402573.369565217,6.726498639534057
143,2000-12-01,198.0,0.07608695652173902,14.9759,166546.66113645787,1998559.9336374945,13429475.54347826,6.719576089487513
144,2001-01-01,204.2,0.09256286784376666,14.8356,171761.75860638736,2061141.1032766483,13303663.04347826,6.454513483976953
145,2001-02-01,204.8,0.08188061278394088,15.3368,172266.44545831604,2067197.3454997926,13753108.695652172,6.65302165058994
146,2001-03-01,207.0,0.09177215189873422,15.2867,174116.96391538778,2089403.5669846535,13708182.065217389,6.560811076340081
147,2001-04-01,208.7,0.09209837781266339,15.4671,175546.90999585233,2106562.919950228,13869953.804347826,6.584163080529079
148,2001-05-01,210.0,0.07969151670951158,15.0261,176640.3981750311,2119684.778100373,13474491.847826086,6.356837576529518
149,2001-06-01,211.7,0.08175779253960136,15.3368,178070.3442554956,2136844.1310659475,13753108.695652172,6.436177770622673
150,2001-07-01,212.4,0.08146639511201625,15.2666,178659.14558274572,2143909.7469929485,13690157.608695652,6.385603511480598
151,2001-08-01,213.9,0.08799593082400814,15.016,179920.86271256738,2159050.3525508083,13465434.782608695,6.23673957705524
152,2001-09-01,214.8,0.09146341463414642,15.0762,180677.8929904604,2168134.7158855246,13519418.47826087,6.235506668108109
153,2001-10-01,215.2,0.09127789046653145,15.2265,181014.35089174614,2172172.210700954,13654198.369565217,6.285964944353581
154,2001-11-01,215.9,0.09371833839918953,15.3168,181603.15221899626,2179237.826627955,13735173.913043479,6.302742062024781
